날짜,시도,측정소명,측정소코드,아황산가스,일산화탄소,오존,이산화질소,PM10,PM2.5
2016-01-01 01,서울 강남구 ,강남구,111261,0.006,1.3,0.002,0.068,100,67
2016-01-01 02,서울 강남구 ,강남구,111261,0.006,1.2,0.002,0.062,103,60
2016-01-01 03,서울 강남구 ,강남구,111261,0.006,1.2,0.002,0.054,89,59
2016-01-01 04,서울 강남구 ,강남구,111261,0.005,1.2,0.002,0.05,91,52
2016-01-01 05,서울 강남구 ,강남구,111261,0.005,1.1,0.002,0.047,87,53
2016-01-01 06,서울 강남구 ,강남구,111261,0.006,1.1,0.002,0.046,83,46
2016-01-01 07,서울 강남구 ,강남구,111261,0.005,1,0.002,0.046,93,50
2016-01-01 08,서울 강남구 ,강남구,111261,0.005,1,0.002,0.044,93,47
2016-01-01 09,서울 강남구 ,강남구,111261,0.006,0.9,0.002,0.043,89,45
2016-01-01 10,서울 강남구 ,강남구,111261,0.005,0.9,0.004,0.045,89,49
2016-01-01 11,서울 강남구 ,강남구,111261,0.006,1,0.005,0.048,86,51
2016-01-01 12,서울 강남구 ,강남구,111261,0.007,1.1,0.005,0.053,93,53
2016-01-01 13,서울 강남구 ,강남구,111261,0.007,1,0.005,0.054,97,71
2016-01-01 14,서울 강남구 ,강남구,111261,0.007,0.9,0.006,0.054,89,64
2016-01-01 15,서울 강남구 ,강남구,111261,0.006,0.6,0.009,0.046,73,52
2016-01-01 16,서울 강남구 ,강남구,111261,0.007,0.4,0.027,0.027,44,31
2016-01-01 17,서울 강남구 ,강남구,111261,0.006,0.4,0.022,0.031,28,21
2016-01-01 18,서울 강남구 ,강남구,111261,0.006,0.5,0.013,0.039,42,24
2016-01-01 19,서울 강남구 ,강남구,111261,0.006,0.6,0.005,0.047,49,30
2016-01-01 20,서울 강남구 ,강남구,111261,0.006,0.6,0.004,0.048,52,34
2016-01-01 21,서울 강남구 ,강남구,111261,0.006,0.5,0.008,0.041,59,26
2016-01-01 22,서울 강남구 ,강남구,111261,0.006,0.4,0.01,0.039,47,28
2016-01-01 23,서울 강남구 ,강남구,111261,0.006,0.5,0.007,0.042,41,28
2016-01-01 24,서울 강남구 ,강남구,111261,0.006,0.5,0.006,0.042,42,20
2016-01-02 01,서울 강남구 ,강남구,111261,0.006,0.5,0.006,0.04,38,29
2016-01-02 02,서울 강남구 ,강남구,111261,0.006,0.4,0.015,0.031,39,19
2016-01-02 03,서울 강남구 ,강남구,111261,0.006,0.4,0.013,0.032,34,27
2016-01-02 04,서울 강남구 ,강남구,111261,0.006,0.4,0.014,0.03,36,21
2016-01-02 05,서울 강남구 ,강남구,111261,0.005,0.4,0.015,0.028,37,22
2016-01-02 06,서울 강남구 ,강남구,111261,0.005,0.4,0.01,0.033,35,19
2016-01-02 07,서울 강남구 ,강남구,111261,0.005,0.5,0.005,0.04,36,22
2016-01-02 08,서울 강남구 ,강남구,111261,0.005,0.5,0.004,0.042,35,25
2016-01-02 09,서울 강남구 ,강남구,111261,0.006,0.6,0.003,0.049,38,20
2016-01-02 10,서울 강남구 ,강남구,111261,0.006,0.6,0.003,0.049,40,23
2016-01-02 11,서울 강남구 ,강남구,111261,0.006,0.6,0.005,0.049,47,29
2016-01-02 12,서울 강남구 ,강남구,111261,0.007,0.6,0.009,0.04,46,25
2016-01-02 13,서울 강남구 ,강남구,111261,0.006,0.6,0.007,0.044,51,30
2016-01-02 14,서울 강남구 ,강남구,111261,0.007,0.5,0.014,0.038,56,29
2016-01-02 15,서울 강남구 ,강남구,111261,0.007,0.5,0.021,0.033,55,34
2016-01-02 16,서울 강남구 ,강남구,111261,0.006,0.5,0.031,0.025,53,30
2016-01-02 17,서울 강남구 ,강남구,111261,0.006,0.6,0.021,0.039,59,31
2016-01-02 18,서울 강남구 ,강남구,111261,0.005,0.5,0.032,0.028,57,25
2016-01-02 19,서울 강남구 ,강남구,111261,0.005,0.5,0.031,0.027,57,31
2016-01-02 20,서울 강남구 ,강남구,111261,0.005,0.6,0.014,0.044,71,29
2016-01-02 21,서울 강남구 ,강남구,111261,0.005,0.6,0.005,0.052,83,45
2016-01-02 22,서울 강남구 ,강남구,111261,0.006,0.6,0.005,0.05,71,46
2016-01-02 23,서울 강남구 ,강남구,111261,0.005,0.7,0.003,0.052,67,40
2016-01-02 24,서울 강남구 ,강남구,111261,0.006,0.6,0.006,0.047,67,39
2016-01-03 01,서울 강남구 ,강남구,111261,0.006,0.6,0.005,0.048,63,39
2016-01-03 02,서울 강남구 ,강남구,111261,0.005,0.7,0.004,0.047,60,37
2016-01-03 03,서울 강남구 ,강남구,111261,0.005,1,0.003,0.052,64,33
2016-01-03 04,서울 강남구 ,강남구,111261,0.005,1,0.001,0.051,60,38
2016-01-03 05,서울 강남구 ,강남구,111261,0.005,1,0.002,0.049,63,31
2016-01-03 06,서울 강남구 ,강남구,111261,0.005,0.9,0.002,0.05,63,32
2016-01-03 07,서울 강남구 ,강남구,111261,0.006,0.7,0.005,0.047,70,35
2016-01-03 08,서울 강남구 ,강남구,111261,0.005,0.9,0.003,0.053,73,40
2016-01-03 09,서울 강남구 ,강남구,111261,0.006,1.1,0.003,0.054,68,38
2016-01-03 10,서울 강남구 ,강남구,111261,0.006,1.1,0.003,0.054,69,39
2016-01-03 11,서울 강남구 ,강남구,111261,0.007,0.9,0.005,0.052,82,49
2016-01-03 12,서울 강남구 ,강남구,111261,0.007,0.8,0.007,0.053,111,52
2016-01-03 13,서울 강남구 ,강남구,111261,0.007,0.8,0.016,0.05,113,59
2016-01-03 14,서울 강남구 ,강남구,111261,0.01,0.7,0.027,0.046,110,58
2016-01-03 15,서울 강남구 ,강남구,111261,0.01,0.7,0.037,0.038,102,61
2016-01-03 16,서울 강남구 ,강남구,111261,0.01,0.7,0.027,0.048,112,62
2016-01-03 17,서울 강남구 ,강남구,111261,0.01,0.6,0.034,0.041,112,74
2016-01-03 18,서울 강남구 ,강남구,111261,0.009,0.7,0.025,0.054,119,91
2016-01-03 19,서울 강남구 ,강남구,111261,0.009,0.8,0.015,0.065,117,84
2016-01-03 20,서울 강남구 ,강남구,111261,0.008,0.8,0.012,0.065,142,85
2016-01-03 21,서울 강남구 ,강남구,111261,0.008,0.9,0.003,0.073,167,97
2016-01-03 22,서울 강남구 ,강남구,111261,0.008,0.9,0.008,0.067,174,106
2016-01-03 23,서울 강남구 ,강남구,111261,0.007,0.8,0.016,0.056,162,98
2016-01-03 24,서울 강남구 ,강남구,111261,0.006,0.8,0.03,0.041,152,97
2016-01-04 01,서울 강남구 ,강남구,111261,0.007,0.8,0.047,0.024,148,90
2016-01-04 02,서울 강남구 ,강남구,111261,0.007,0.8,0.048,0.023,167,98
2016-01-04 03,서울 강남구 ,강남구,111261,0.008,0.8,0.043,0.025,182,98
2016-01-04 04,서울 강남구 ,강남구,111261,0.008,0.8,0.043,0.024,194,99
2016-01-04 05,서울 강남구 ,강남구,111261,0.009,0.8,0.046,0.018,166,87
2016-01-04 06,서울 강남구 ,강남구,111261,0.007,0.8,0.035,0.022,170,86
