날짜,시도,측정소명,측정소코드,아황산가스,일산화탄소,오존,이산화질소,PM10,PM2.5
2016-11-01 01,서울 강남구 ,강남구,111261,0.003,0.2,0.023,0.013,16,1
2016-11-01 02,서울 강남구 ,강남구,111261,0.003,0.2,0.026,0.01,19,9
2016-11-01 03,서울 강남구 ,강남구,111261,0.004,0.2,0.028,0.008,17,10
2016-11-01 04,서울 강남구 ,강남구,111261,0.003,0.2,0.027,0.008,15,4
2016-11-01 05,서울 강남구 ,강남구,111261,0.003,0.2,0.026,0.009,19,5
2016-11-01 06,서울 강남구 ,강남구,111261,0.003,0.2,0.023,0.011,20,7
2016-11-01 07,서울 강남구 ,강남구,111261,0.004,0.3,0.016,0.019,19,6
2016-11-01 08,서울 강남구 ,강남구,111261,0.003,0.3,0.012,0.024,21,9
2016-11-01 09,서울 강남구 ,강남구,111261,0.004,0.3,0.012,0.027,21,8
2016-11-01 10,서울 강남구 ,강남구,111261,0.003,0.3,0.016,0.023,19,7
2016-11-01 11,서울 강남구 ,강남구,111261,0.003,0.3,0.018,0.022,20,4
2016-11-01 12,서울 강남구 ,강남구,111261,0.003,0.3,0.02,0.021,19,8
2016-11-01 13,서울 강남구 ,강남구,111261,0.003,0.3,0.023,0.02,20,7
2016-11-01 14,서울 강남구 ,강남구,111261,0.004,0.3,0.025,0.021,26,12
2016-11-01 15,서울 강남구 ,강남구,111261,0.004,0.3,0.023,0.023,24,12
2016-11-01 16,서울 강남구 ,강남구,111261,0.003,0.3,0.024,0.022,31,20
2016-11-01 17,서울 강남구 ,강남구,111261,0.003,0.3,0.022,0.025,39,14
2016-11-01 18,서울 강남구 ,강남구,111261,0.004,0.3,0.015,0.032,43,19
2016-11-01 19,서울 강남구 ,강남구,111261,0.003,0.3,0.017,0.03,27,12
2016-11-01 20,서울 강남구 ,강남구,111261,0.003,0.3,0.016,0.029,34,12
2016-11-01 21,서울 강남구 ,강남구,111261,0.003,0.3,0.016,0.03,24,18
2016-11-01 22,서울 강남구 ,강남구,111261,0.003,0.3,0.018,0.027,32,13
2016-11-01 23,서울 강남구 ,강남구,111261,0.003,0.3,0.015,0.03,31,12
2016-11-01 24,서울 강남구 ,강남구,111261,0.004,0.3,0.014,0.029,32,13
2016-11-02 01,서울 강남구 ,강남구,111261,0.003,0.3,0.017,0.024,30,7
2016-11-02 02,서울 강남구 ,강남구,111261,0.004,0.3,0.017,0.023,33,11
2016-11-02 03,서울 강남구 ,강남구,111261,0.004,0.3,0.02,0.019,32,15
2016-11-02 04,서울 강남구 ,강남구,111261,0.004,0.3,0.014,0.026,33,9
2016-11-02 05,서울 강남구 ,강남구,111261,0.003,0.4,0.004,0.037,31,11
2016-11-02 06,서울 강남구 ,강남구,111261,0.004,0.4,0.001,0.039,41,17
2016-11-02 07,서울 강남구 ,강남구,111261,0.003,0.4,0.002,0.039,40,13
2016-11-02 08,서울 강남구 ,강남구,111261,0.004,0.4,0.003,0.041,39,15
2016-11-02 09,서울 강남구 ,강남구,111261,0.004,0.6,0.003,0.047,38,16
2016-11-02 10,서울 강남구 ,강남구,111261,0.004,0.7,0.004,0.052,54,19
2016-11-02 11,서울 강남구 ,강남구,111261,0.004,0.6,0.005,0.052,47,13
2016-11-02 12,서울 강남구 ,강남구,111261,0.004,0.4,0.013,0.037,42,14
2016-11-02 13,서울 강남구 ,강남구,111261,0.004,0.4,0.015,0.035,35,13
2016-11-02 14,서울 강남구 ,강남구,111261,0.004,0.4,0.016,0.036,36,14
2016-11-02 15,서울 강남구 ,강남구,111261,0.004,0.4,0.012,0.043,38,13
2016-11-02 16,서울 강남구 ,강남구,111261,0.005,0.4,0.008,0.053,57,26
2016-11-02 17,서울 강남구 ,강남구,111261,0.005,0.4,0.009,0.047,55,23
2016-11-02 18,서울 강남구 ,강남구,111261,0.004,0.4,0.007,0.046,47,20
2016-11-02 19,서울 강남구 ,강남구,111261,0.004,0.4,0.008,0.041,33,16
2016-11-02 20,서울 강남구 ,강남구,111261,0.005,0.4,0.002,0.049,28,16
2016-11-02 21,서울 강남구 ,강남구,111261,0.004,0.5,0.002,0.048,35,21
2016-11-02 22,서울 강남구 ,강남구,111261,0.004,0.5,0.001,0.048,36,25
2016-11-02 23,서울 강남구 ,강남구,111261,0.003,0.5,0.001,0.05,34,21
2016-11-02 24,서울 강남구 ,강남구,111261,0.004,0.5,0.001,0.047,31,21
2016-11-03 01,서울 강남구 ,강남구,111261,0.004,0.5,0.001,0.048,27,18
2016-11-03 02,서울 강남구 ,강남구,111261,0.004,0.6,0.001,0.053,37,21
2016-11-03 03,서울 강남구 ,강남구,111261,0.004,0.5,0.001,0.047,34,17
2016-11-03 04,서울 강남구 ,강남구,111261,0.004,0.5,0.001,0.044,25,20
2016-11-03 05,서울 강남구 ,강남구,111261,0.004,0.8,0.001,0.043,28,17
2016-11-03 06,서울 강남구 ,강남구,111261,0.003,0.5,0.001,0.043,28,17
2016-11-03 07,서울 강남구 ,강남구,111261,0.004,0.5,0.001,0.046,27,13
2016-11-03 08,서울 강남구 ,강남구,111261,0.004,0.8,0.001,0.044,27,20
2016-11-03 09,서울 강남구 ,강남구,111261,0.004,1,0.002,0.045,35,16
2016-11-03 10,서울 강남구 ,강남구,111261,0.003,0.8,0.003,0.047,36,22
2016-11-03 11,서울 강남구 ,강남구,111261,0.006,0.8,0.003,0.049,45,26
2016-11-03 12,서울 강남구 ,강남구,111261,0.005,0.7,0.005,0.049,0,0
2016-11-03 13,서울 강남구 ,강남구,111261,0.006,0.5,0.017,0.037,0,0
2016-11-03 14,서울 강남구 ,강남구,111261,0.005,0.5,0.025,0.031,63,28
2016-11-03 15,서울 강남구 ,강남구,111261,0.005,0.4,0.032,0.022,46,22
2016-11-03 16,서울 강남구 ,강남구,111261,0.005,0.4,0.034,0.023,50,19
2016-11-03 17,서울 강남구 ,강남구,111261,0.004,0.4,0.032,0.027,50,22
2016-11-03 18,서울 강남구 ,강남구,111261,0.005,0.4,0.025,0.034,57,32
2016-11-03 19,서울 강남구 ,강남구,111261,0.005,0.5,0.018,0.042,48,29
2016-11-03 20,서울 강남구 ,강남구,111261,0.005,0.6,0.007,0.055,56,26
2016-11-03 21,서울 강남구 ,강남구,111261,0.005,0.5,0.004,0.058,59,35
2016-11-03 22,서울 강남구 ,강남구,111261,0.005,0.5,0.003,0.058,58,33
2016-11-03 23,서울 강남구 ,강남구,111261,0.005,0.5,0.004,0.055,54,24
2016-11-03 24,서울 강남구 ,강남구,111261,0.006,0.5,0.005,0.052,48,28
2016-11-04 01,서울 강남구 ,강남구,111261,0.005,0.5,0.009,0.046,50,25
2016-11-04 02,서울 강남구 ,강남구,111261,0.005,0.5,0.012,0.042,60,32
2016-11-04 03,서울 강남구 ,강남구,111261,0.005,0.5,0.011,0.04,56,31
2016-11-04 04,서울 강남구 ,강남구,111261,0.005,0.5,0.013,0.039,53,30
2016-11-04 05,서울 강남구 ,강남구,111261,0.005,0.5,0.01,0.042,52,29
2016-11-04 06,서울 강남구 ,강남구,111261,0.005,0.5,0.004,0.051,61,20
2016-11-04 07,서울 강남구 ,강남구,111261,0.004,0.5,0.008,0.046,57,27
2016-11-04 08,서울 강남구 ,강남구,111261,0.005,0.5,0.004,0.054,55,25
2016-11-04 09,서울 강남구 ,강남구,111261,0.004,0.6,0.002,0.06,59,27
2016-11-04 10,서울 강남구 ,강남구,111261,0.005,0.6,0.007,0.054,64,29
2016-11-04 11,서울 강남구 ,강남구,111261,0.005,0.5,0.02,0.039,61,29
2016-11-04 12,서울 강남구 ,강남구,111261,0.005,0.5,0.028,0.031,63,29
2016-11-04 13,서울 강남구 ,강남구,111261,0.004,0.4,0.034,0.027,62,29
2016-11-04 14,서울 강남구 ,강남구,111261,0.005,0.5,0.034,0.027,85,43
2016-11-04 15,서울 강남구 ,강남구,111261,0.004,0.4,0.035,0.026,74,44
2016-11-04 16,서울 강남구 ,강남구,111261,0.005,0.4,0.038,0.025,67,37
