날짜,시도,측정소명,측정소코드,아황산가스,일산화탄소,오존,이산화질소,PM10,PM2.5
2016-03-01 01,서울 강남구 ,강남구,111261,0.008,0.3,0.027,0.02,36,17
2016-03-01 02,서울 강남구 ,강남구,111261,0.006,0.3,0.028,0.02,32,16
2016-03-01 03,서울 강남구 ,강남구,111261,0.007,0.3,0.028,0.018,34,16
2016-03-01 04,서울 강남구 ,강남구,111261,0.007,0.3,0.03,0.016,28,17
2016-03-01 05,서울 강남구 ,강남구,111261,0.007,0.3,0.03,0.015,28,11
2016-03-01 06,서울 강남구 ,강남구,111261,0.006,0.3,0.027,0.018,32,15
2016-03-01 07,서울 강남구 ,강남구,111261,0.007,0.3,0.025,0.022,25,12
2016-03-01 08,서울 강남구 ,강남구,111261,0.006,0.3,0.019,0.029,27,9
2016-03-01 09,서울 강남구 ,강남구,111261,0.007,0.3,0.024,0.025,27,15
2016-03-01 10,서울 강남구 ,강남구,111261,0.007,0.3,0.026,0.025,26,11
2016-03-01 11,서울 강남구 ,강남구,111261,0.007,0.3,0.031,0.019,19,11
2016-03-01 12,서울 강남구 ,강남구,111261,0.007,0.3,0.029,0.024,27,17
2016-03-01 13,서울 강남구 ,강남구,111261,0.007,0.3,0.032,0.022,37,18
2016-03-01 14,서울 강남구 ,강남구,111261,0.008,0.4,0.032,0.022,35,20
2016-03-01 15,서울 강남구 ,강남구,111261,0.007,0.3,0.036,0.019,46,26
2016-03-01 16,서울 강남구 ,강남구,111261,0.008,0.4,0.034,0.022,43,24
2016-03-01 17,서울 강남구 ,강남구,111261,0.007,0.3,0.033,0.023,39,19
2016-03-01 18,서울 강남구 ,강남구,111261,0.007,0.4,0.032,0.024,43,24
2016-03-01 19,서울 강남구 ,강남구,111261,0.008,0.3,0.031,0.023,42,20
2016-03-01 20,서울 강남구 ,강남구,111261,0.006,0.3,0.025,0.027,29,14
2016-03-01 21,서울 강남구 ,강남구,111261,0.007,0.3,0.025,0.027,17,10
