날짜,시도,측정소명,측정소코드,아황산가스,일산화탄소,오존,이산화질소,PM10,PM2.5
2016-09-01 01,서울 강남구 ,강남구,111261,0.006,0.3,0.014,0.029,42,12
2016-09-01 02,서울 강남구 ,강남구,111261,0.005,0.3,0.016,0.026,35,14
2016-09-01 03,서울 강남구 ,강남구,111261,0.004,0.4,0.01,0.027,37,12
2016-09-01 04,서울 강남구 ,강남구,111261,0.004,0.5,0.002,0.035,35,11
2016-09-01 05,서울 강남구 ,강남구,111261,0.004,0.5,0.001,0.035,33,14
2016-09-01 06,서울 강남구 ,강남구,111261,0.004,0.5,0.001,0.036,32,13
2016-09-01 07,서울 강남구 ,강남구,111261,0.003,0.6,0.002,0.037,40,15
2016-09-01 08,서울 강남구 ,강남구,111261,0.005,0.6,0.002,0.038,46,19
2016-09-01 09,서울 강남구 ,강남구,111261,0.005,0.6,0.004,0.046,47,31
2016-09-01 10,서울 강남구 ,강남구,111261,0.004,0.7,0.007,0.06,80,33
2016-09-01 11,서울 강남구 ,강남구,111261,0.004,0.5,0.063,0.023,93,46
2016-09-01 12,서울 강남구 ,강남구,111261,0.003,0.4,0.073,0.019,87,45
2016-09-01 13,서울 강남구 ,강남구,111261,0.004,0.4,0.074,0.019,95,55
2016-09-01 14,서울 강남구 ,강남구,111261,0.004,0.4,0.075,0.02,103,54
2016-09-01 15,서울 강남구 ,강남구,111261,0.005,0.5,0.077,0.019,105,54
2016-09-01 16,서울 강남구 ,강남구,111261,0.005,0.5,0.081,0.016,110,64
2016-09-01 17,서울 강남구 ,강남구,111261,0.006,0.5,0.077,0.02,98,62
2016-09-01 18,서울 강남구 ,강남구,111261,0.007,0.5,0.074,0.021,87,50
2016-09-01 19,서울 강남구 ,강남구,111261,0.007,0.6,0.072,0.028,82,47
2016-09-01 20,서울 강남구 ,강남구,111261,0.007,0.6,0.077,0.026,98,57
2016-09-01 21,서울 강남구 ,강남구,111261,0.006,0.6,0.065,0.029,102,67
2016-09-01 22,서울 강남구 ,강남구,111261,0.006,0.6,0.053,0.033,90,56
2016-09-01 23,서울 강남구 ,강남구,111261,0.006,0.7,0.046,0.029,88,57
2016-09-01 24,서울 강남구 ,강남구,111261,0.008,0.8,0.029,0.037,79,47
2016-09-02 01,서울 강남구 ,강남구,111261,0.005,0.6,0.011,0.06,78,52
2016-09-02 02,서울 강남구 ,강남구,111261,0.004,0.5,0.03,0.028,75,49
2016-09-02 03,서울 강남구 ,강남구,111261,0.004,0.3,0.048,0.012,63,43
2016-09-02 04,서울 강남구 ,강남구,111261,0.004,0.3,0.043,0.014,54,38
2016-09-02 05,서울 강남구 ,강남구,111261,0.003,0.4,0.033,0.019,46,25
2016-09-02 06,서울 강남구 ,강남구,111261,0.003,0.4,0.029,0.021,45,32
2016-09-02 07,서울 강남구 ,강남구,111261,0.003,0.4,0.018,0.035,49,31
2016-09-02 08,서울 강남구 ,강남구,111261,0.003,0.5,0.011,0.047,48,33
2016-09-02 09,서울 강남구 ,강남구,111261,0.004,0.4,0.022,0.037,48,40
2016-09-02 10,서울 강남구 ,강남구,111261,0.004,0.4,0.03,0.031,43,33
2016-09-02 11,서울 강남구 ,강남구,111261,0.004,0.3,0.045,0.021,38,25
2016-09-02 12,서울 강남구 ,강남구,111261,0.004,0.3,0.047,0.024,26,17
2016-09-02 13,서울 강남구 ,강남구,111261,0.004,0.3,0.054,0.017,24,17
2016-09-02 14,서울 강남구 ,강남구,111261,0.004,0.3,0.049,0.022,22,20
2016-09-02 15,서울 강남구 ,강남구,111261,0.004,0.3,0.046,0.021,16,11
2016-09-02 16,서울 강남구 ,강남구,111261,0.004,0.3,0.039,0.025,23,13
2016-09-02 17,서울 강남구 ,강남구,111261,0.004,0.3,0.03,0.029,26,16
2016-09-02 18,서울 강남구 ,강남구,111261,0.003,0.3,0.028,0.032,22,9
2016-09-02 19,서울 강남구 ,강남구,111261,0.004,0.4,0.026,0.033,22,16
2016-09-02 20,서울 강남구 ,강남구,111261,0.004,0.4,0.027,0.031,31,17
2016-09-02 21,서울 강남구 ,강남구,111261,0.003,0.4,0.029,0.028,22,0
2016-09-02 22,서울 강남구 ,강남구,111261,0.003,0.4,0.031,0.025,26,20
2016-09-02 23,서울 강남구 ,강남구,111261,0.003,0.3,0.028,0.026,21,17
2016-09-02 24,서울 강남구 ,강남구,111261,0.003,0.3,0.026,0.021,23,17
2016-09-03 01,서울 강남구 ,강남구,111261,0.004,0.3,0.028,0.018,29,16
2016-09-03 02,서울 강남구 ,강남구,111261,0.003,0.3,0.037,0.009,23,17
2016-09-03 03,서울 강남구 ,강남구,111261,0.003,0.3,0.035,0.009,15,13
2016-09-03 04,서울 강남구 ,강남구,111261,0.003,0.3,0.032,0.009,18,18
2016-09-03 05,서울 강남구 ,강남구,111261,0.003,0.3,0.028,0.009,17,12
2016-09-03 06,서울 강남구 ,강남구,111261,0.004,0.3,0.021,0.014,18,15
2016-09-03 07,서울 강남구 ,강남구,111261,0.003,0.3,0.016,0.022,27,10
2016-09-03 08,서울 강남구 ,강남구,111261,0.003,0.3,0.012,0.028,15,14
2016-09-03 09,서울 강남구 ,강남구,111261,0.003,0.3,0.015,0.027,20,6
2016-09-03 10,서울 강남구 ,강남구,111261,0.003,0.4,0.016,0.027,17,13
2016-09-03 11,서울 강남구 ,강남구,111261,0.003,0.3,0.022,0.023,16,6
2016-09-03 12,서울 강남구 ,강남구,111261,0.003,0.3,0.025,0.024,17,10
2016-09-03 13,서울 강남구 ,강남구,111261,0.004,0.4,0.022,0.029,19,8
2016-09-03 14,서울 강남구 ,강남구,111261,0.003,0.4,0.024,0.03,19,11
2016-09-03 15,서울 강남구 ,강남구,111261,0.004,0.4,0.032,0.026,14,4
2016-09-03 16,서울 강남구 ,강남구,111261,0.003,0.3,0.043,0.024,21,15
2016-09-03 17,서울 강남구 ,강남구,111261,0.004,0.4,0.042,0.03,31,20
2016-09-03 18,서울 강남구 ,강남구,111261,0.004,0.4,0.039,0.034,26,10
2016-09-03 19,서울 강남구 ,강남구,111261,0.004,0.4,0.033,0.041,27,18
2016-09-03 20,서울 강남구 ,강남구,111261,0.004,0.4,0.025,0.05,31,17
2016-09-03 21,서울 강남구 ,강남구,111261,0.004,0.5,0.022,0.055,31,0
2016-09-03 22,서울 강남구 ,강남구,111261,0.004,0.5,0.032,0.043,51,39
2016-09-03 23,서울 강남구 ,강남구,111261,0.005,0.5,0.029,0.038,69,49
2016-09-03 24,서울 강남구 ,강남구,111261,0.005,0.6,0.01,0.055,80,60
2016-09-04 01,서울 강남구 ,강남구,111261,0.004,0.7,0.002,0.062,46,24
2016-09-04 02,서울 강남구 ,강남구,111261,0.004,0.6,0.002,0.052,35,25
2016-09-04 03,서울 강남구 ,강남구,111261,0.004,0.5,0.002,0.04,23,12
2016-09-04 04,서울 강남구 ,강남구,111261,0.003,0.4,0.004,0.028,21,11
2016-09-04 05,서울 강남구 ,강남구,111261,0.003,0.4,0.007,0.02,18,9
2016-09-04 06,서울 강남구 ,강남구,111261,0.004,0.4,0.009,0.02,18,7
2016-09-04 07,서울 강남구 ,강남구,111261,0.004,0.3,0.008,0.02,22,10
2016-09-04 08,서울 강남구 ,강남구,111261,0.004,0.3,0.007,0.021,15,5
2016-09-04 09,서울 강남구 ,강남구,111261,0.003,0.3,0.011,0.018,13,7
2016-09-04 10,서울 강남구 ,강남구,111261,0.003,0.3,0.014,0.018,12,5
2016-09-04 11,서울 강남구 ,강남구,111261,0.003,0.3,0.021,0.016,15,4
2016-09-04 12,서울 강남구 ,강남구,111261,0.003,0.3,0.028,0.016,17,8
2016-09-04 13,서울 강남구 ,강남구,111261,0.004,0.3,0.041,0.011,25,16
2016-09-04 14,서울 강남구 ,강남구,111261,0.004,0.3,0.046,0.014,24,14
2016-09-04 15,서울 강남구 ,강남구,111261,0.003,0.3,0.052,0.013,27,15
2016-09-04 16,서울 강남구 ,강남구,111261,0.003,0.3,0.048,0.017,24,15
2016-09-04 17,서울 강남구 ,강남구,111261,0.003,0.3,0.04,0.022,33,16
2016-09-04 18,서울 강남구 ,강남구,111261,0.003,0.3,0.034,0.021,26,14
2016-09-04 19,서울 강남구 ,강남구,111261,0.004,0.4,0.024,0.026,26,14
2016-09-04 20,서울 강남구 ,강남구,111261,0.004,0.4,0.018,0.027,26,12
2016-09-04 21,서울 강남구 ,강남구,111261,0.003,0.4,0.017,0.021,23,11
2016-09-04 22,서울 강남구 ,강남구,111261,0.003,0.3,0.012,0.025,26,12
2016-09-04 23,서울 강남구 ,강남구,111261,0.004,0.3,0.006,0.029,19,11
2016-09-04 24,서울 강남구 ,강남구,111261,0.003,0.3,0.006,0.025,24,15
2016-09-05 01,서울 강남구 ,강남구,111261,0.003,0.3,0.009,0.02,20,12
2016-09-05 02,서울 강남구 ,강남구,111261,0.004,0.3,0.011,0.016,19,12
2016-09-05 03,서울 강남구 ,강남구,111261,0.003,0.3,0.009,0.015,18,10
2016-09-05 04,서울 강남구 ,강남구,111261,0.004,0.3,0.01,0.015,18,13
2016-09-05 05,서울 강남구 ,강남구,111261,0.003,0.3,0.011,0.013,17,9
2016-09-05 06,서울 강남구 ,강남구,111261,0.003,0.3,0.005,0.019,21,12
2016-09-05 07,서울 강남구 ,강남구,111261,0.004,0.3,0.002,0.023,19,6
2016-09-05 08,서울 강남구 ,강남구,111261,0.004,0.4,0.003,0.026,21,12
