날짜,시도,측정소명,측정소코드,아황산가스,일산화탄소,오존,이산화질소,PM10,PM2.5
2016-02-01 01,서울 강남구 ,강남구,111261,0.005,0.4,0.024,0.027,48,21
2016-02-01 02,서울 강남구 ,강남구,111261,0.005,0.4,0.025,0.025,44,16
2016-02-01 03,서울 강남구 ,강남구,111261,0.005,0.4,0.028,0.02,46,15
2016-02-01 04,서울 강남구 ,강남구,111261,0.005,0.4,0.033,0.018,42,19
2016-02-01 05,서울 강남구 ,강남구,111261,0.004,0.4,0.028,0.021,44,15
2016-02-01 06,서울 강남구 ,강남구,111261,0.004,0.4,0.022,0.026,46,19
2016-02-01 07,서울 강남구 ,강남구,111261,0.005,0.4,0.012,0.034,40,17
2016-02-01 08,서울 강남구 ,강남구,111261,0.006,0.4,0.005,0.043,40,12
2016-02-01 09,서울 강남구 ,강남구,111261,0.005,0.5,0.015,0.035,41,15
2016-02-01 10,서울 강남구 ,강남구,111261,0.006,0.4,0.025,0.028,35,15
2016-02-01 11,서울 강남구 ,강남구,111261,0.007,0.4,0.033,0.025,30,12
2016-02-01 12,서울 강남구 ,강남구,111261,0.006,0.5,0.029,0.028,39,21
2016-02-01 13,서울 강남구 ,강남구,111261,0.007,0.4,0.033,0.026,40,22
2016-02-01 14,서울 강남구 ,강남구,111261,0.006,0.4,0.032,0.026,35,13
2016-02-01 15,서울 강남구 ,강남구,111261,0.006,0.4,0.035,0.028,37,19
2016-02-01 16,서울 강남구 ,강남구,111261,0.005,0.4,0.039,0.026,40,20
2016-02-01 17,서울 강남구 ,강남구,111261,0.006,0.3,0.035,0.028,41,18
2016-02-01 18,서울 강남구 ,강남구,111261,0.006,0.4,0.026,0.034,47,20
2016-02-01 19,서울 강남구 ,강남구,111261,0.006,0.4,0.016,0.042,42,17
2016-02-01 20,서울 강남구 ,강남구,111261,0.006,0.5,0.016,0.041,42,19
2016-02-01 21,서울 강남구 ,강남구,111261,0.006,0.4,0.026,0.03,36,24
2016-02-01 22,서울 강남구 ,강남구,111261,0.006,0.4,0.021,0.034,53,25
2016-02-01 23,서울 강남구 ,강남구,111261,0.005,0.5,0.014,0.039,51,23
2016-02-01 24,서울 강남구 ,강남구,111261,0.005,0.4,0.009,0.041,48,15
2016-02-02 01,서울 강남구 ,강남구,111261,0.005,0.4,0.014,0.035,45,18
2016-02-02 02,서울 강남구 ,강남구,111261,0.005,0.4,0.02,0.029,46,16
2016-02-02 03,서울 강남구 ,강남구,111261,0.005,0.5,0.019,0.03,41,17
2016-02-02 04,서울 강남구 ,강남구,111261,0.005,0.4,0.022,0.028,46,19
2016-02-02 05,서울 강남구 ,강남구,111261,0.005,0.4,0.026,0.024,42,18
2016-02-02 06,서울 강남구 ,강남구,111261,0.005,0.4,0.025,0.025,47,17
2016-02-02 07,서울 강남구 ,강남구,111261,0.005,0.5,0.011,0.039,39,18
2016-02-02 08,서울 강남구 ,강남구,111261,0.005,0.8,0.003,0.05,56,26
2016-02-02 09,서울 강남구 ,강남구,111261,0.006,0.9,0.004,0.053,64,30
2016-02-02 10,서울 강남구 ,강남구,111261,0.006,1,0.005,0.057,66,34
2016-02-02 11,서울 강남구 ,강남구,111261,0.006,0.5,0.02,0.038,49,20
2016-02-02 12,서울 강남구 ,강남구,111261,0.008,0.5,0.026,0.032,36,19
2016-02-02 13,서울 강남구 ,강남구,111261,0.007,0.5,0.023,0.036,47,21
2016-02-02 14,서울 강남구 ,강남구,111261,0.007,0.5,0.03,0.031,47,19
2016-02-02 15,서울 강남구 ,강남구,111261,0.006,0.4,0.034,0.029,37,22
2016-02-02 16,서울 강남구 ,강남구,111261,0.006,0.4,0.034,0.031,40,20
2016-02-02 17,서울 강남구 ,강남구,111261,0.007,0.4,0.029,0.034,41,15
2016-02-02 18,서울 강남구 ,강남구,111261,0.005,0.4,0.027,0.038,56,21
2016-02-02 19,서울 강남구 ,강남구,111261,0.006,0.5,0.01,0.053,50,18
2016-02-02 20,서울 강남구 ,강남구,111261,0.006,0.6,0.004,0.061,58,20
2016-02-02 21,서울 강남구 ,강남구,111261,0.007,0.6,0.004,0.062,62,26
2016-02-02 22,서울 강남구 ,강남구,111261,0.007,0.7,0.002,0.065,60,30
2016-02-02 23,서울 강남구 ,강남구,111261,0.008,0.7,0.002,0.065,68,31
2016-02-02 24,서울 강남구 ,강남구,111261,0.008,0.7,0.002,0.063,63,34
2016-02-03 01,서울 강남구 ,강남구,111261,0.007,0.5,0.007,0.051,55,24
2016-02-03 02,서울 강남구 ,강남구,111261,0.006,0.7,0.006,0.057,52,22
2016-02-03 03,서울 강남구 ,강남구,111261,0.007,0.9,0.003,0.062,70,36
2016-02-03 04,서울 강남구 ,강남구,111261,0.006,0.9,0.002,0.059,66,32
2016-02-03 05,서울 강남구 ,강남구,111261,0.006,0.8,0.002,0.055,58,36
2016-02-03 06,서울 강남구 ,강남구,111261,0.005,0.8,0.002,0.054,54,32
2016-02-03 07,서울 강남구 ,강남구,111261,0.006,0.9,0.002,0.055,58,27
2016-02-03 08,서울 강남구 ,강남구,111261,0.006,1,0.002,0.058,59,40
2016-02-03 09,서울 강남구 ,강남구,111261,0.007,1,0.003,0.061,60,30
2016-02-03 10,서울 강남구 ,강남구,111261,0.006,1.1,0.004,0.063,66,36
2016-02-03 11,서울 강남구 ,강남구,111261,0.008,1.2,0.005,0.069,78,39
2016-02-03 12,서울 강남구 ,강남구,111261,0.009,1.1,0.007,0.068,102,47
2016-02-03 13,서울 강남구 ,강남구,111261,0.009,1,0.009,0.066,115,48
2016-02-03 14,서울 강남구 ,강남구,111261,0.008,0.5,0.026,0.038,70,25
2016-02-03 15,서울 강남구 ,강남구,111261,0.008,0.5,0.024,0.042,52,19
2016-02-03 16,서울 강남구 ,강남구,111261,0.008,0.6,0.023,0.047,62,24
2016-02-03 17,서울 강남구 ,강남구,111261,0.007,0.5,0.028,0.042,59,24
2016-02-03 18,서울 강남구 ,강남구,111261,0.009,0.5,0.022,0.048,59,21
2016-02-03 19,서울 강남구 ,강남구,111261,0.007,0.6,0.01,0.059,58,22
2016-02-03 20,서울 강남구 ,강남구,111261,0.007,0.6,0.015,0.052,53,26
2016-02-03 21,서울 강남구 ,강남구,111261,0.007,0.6,0.008,0.06,48,31
2016-02-03 22,서울 강남구 ,강남구,111261,0.006,0.7,0.003,0.067,63,41
2016-02-03 23,서울 강남구 ,강남구,111261,0.006,0.8,0.002,0.066,66,40
2016-02-03 24,서울 강남구 ,강남구,111261,0.006,0.8,0.002,0.064,61,33
2016-02-04 01,서울 강남구 ,강남구,111261,0.006,0.8,0.002,0.062,60,36
2016-02-04 02,서울 강남구 ,강남구,111261,0.006,0.9,0.002,0.06,52,34
2016-02-04 03,서울 강남구 ,강남구,111261,0.006,0.7,0.005,0.052,47,27
2016-02-04 04,서울 강남구 ,강남구,111261,0.006,0.6,0.013,0.041,42,24
2016-02-04 05,서울 강남구 ,강남구,111261,0.006,0.9,0.002,0.057,46,26
2016-02-04 06,서울 강남구 ,강남구,111261,0.005,1,0.002,0.056,46,28
2016-02-04 07,서울 강남구 ,강남구,111261,0.006,0.8,0.002,0.051,49,34
2016-02-04 08,서울 강남구 ,강남구,111261,0.006,0.8,0.002,0.054,49,31
2016-02-04 09,서울 강남구 ,강남구,111261,0.006,0.9,0.003,0.054,43,24
