날짜,시도,측정소명,측정소코드,아황산가스,일산화탄소,오존,이산화질소,PM10,PM2.5
2016-08-03 23,서울 강남구 ,강남구,111261,0.004,0.5,0.005,0.054,47,30
2016-08-03 24,서울 강남구 ,강남구,111261,0.004,0.4,0.007,0.044,41,28
2016-08-04 01,서울 강남구 ,강남구,111261,0.004,0.4,0.009,0.042,40,26
2016-08-04 02,서울 강남구 ,강남구,111261,0.004,0.4,0.014,0.034,40,26
2016-08-04 03,서울 강남구 ,강남구,111261,0.004,0.4,0.004,0.04,49,28
2016-08-04 04,서울 강남구 ,강남구,111261,0.004,0.4,0.003,0.035,48,32
2016-08-04 05,서울 강남구 ,강남구,111261,0.003,0.3,0.009,0.019,42,21
2016-08-04 06,서울 강남구 ,강남구,111261,0.003,0.4,0.004,0.026,31,20
2016-08-04 07,서울 강남구 ,강남구,111261,0.004,0.4,0.003,0.029,45,23
2016-08-04 08,서울 강남구 ,강남구,111261,0.004,0.4,0.005,0.032,38,26
2016-08-04 09,서울 강남구 ,강남구,111261,0.004,0.5,0.007,0.037,47,30
2016-08-04 10,서울 강남구 ,강남구,111261,0.005,0.5,0.012,0.04,49,25
2016-08-04 11,서울 강남구 ,강남구,111261,0.004,0.4,0.026,0.039,52,33
2016-08-04 12,서울 강남구 ,강남구,111261,0.004,0.3,0.046,0.024,34,23
2016-08-04 13,서울 강남구 ,강남구,111261,0.005,0.3,0.051,0.015,22,18
2016-08-04 14,서울 강남구 ,강남구,111261,0.004,0.3,0.051,0.015,16,11
2016-08-04 15,서울 강남구 ,강남구,111261,0.004,0.3,0.053,0.018,20,18
2016-08-04 16,서울 강남구 ,강남구,111261,0.004,0.3,0.052,0.022,19,0
2016-08-04 17,서울 강남구 ,강남구,111261,0.005,0.3,0.05,0.021,21,0
2016-08-04 18,서울 강남구 ,강남구,111261,0.004,0.3,0.051,0.024,15,9
2016-08-04 19,서울 강남구 ,강남구,111261,0.005,0.3,0.041,0.031,31,22
2016-08-04 20,서울 강남구 ,강남구,111261,0.005,0.3,0.028,0.031,34,24
2016-08-04 21,서울 강남구 ,강남구,111261,0.004,0.3,0.023,0.03,45,26
2016-08-04 22,서울 강남구 ,강남구,111261,0.003,0.4,0.013,0.04,26,22
2016-08-04 23,서울 강남구 ,강남구,111261,0.004,0.5,0.008,0.051,43,25
2016-08-04 24,서울 강남구 ,강남구,111261,0.004,0.5,0.002,0.048,45,26
2016-08-05 01,서울 강남구 ,강남구,111261,0.004,0.4,0.005,0.034,37,24
2016-08-05 02,서울 강남구 ,강남구,111261,0.004,0.3,0.011,0.021,25,12
