날짜,시도,측정소명,측정소코드,아황산가스,일산화탄소,오존,이산화질소,PM10,PM2.5
2016-12-01 01,서울 강남구 ,강남구,111261,0.008,0.4,0.011,0.029,34,16
2016-12-01 02,서울 강남구 ,강남구,111261,0.007,0.5,0.013,0.027,45,32
2016-12-01 03,서울 강남구 ,강남구,111261,0.008,0.5,0.019,0.021,62,35
2016-12-01 04,서울 강남구 ,강남구,111261,0.008,0.6,0.021,0.019,91,52
2016-12-01 05,서울 강남구 ,강남구,111261,0.009,0.6,0.022,0.017,130,62
2016-12-01 06,서울 강남구 ,강남구,111261,0.008,0.6,0.017,0.02,129,53
2016-12-01 07,서울 강남구 ,강남구,111261,0.008,0.6,0.008,0.03,104,52
2016-12-01 08,서울 강남구 ,강남구,111261,0.007,0.7,0.004,0.038,87,54
2016-12-01 09,서울 강남구 ,강남구,111261,0.007,0.7,0.004,0.039,95,57
2016-12-01 10,서울 강남구 ,강남구,111261,0.008,0.6,0.01,0.03,97,43
2016-12-01 11,서울 강남구 ,강남구,111261,0.008,0.5,0.018,0.02,92,51
2016-12-01 12,서울 강남구 ,강남구,111261,0.008,0.3,0.027,0.014,51,23
2016-12-01 13,서울 강남구 ,강남구,111261,0.007,0.3,0.029,0.012,29,14
2016-12-01 14,서울 강남구 ,강남구,111261,0.007,0.3,0.028,0.014,29,13
2016-12-01 15,서울 강남구 ,강남구,111261,0.007,0.3,0.028,0.013,24,4
2016-12-01 16,서울 강남구 ,강남구,111261,0.007,0.3,0.025,0.018,26,10
2016-12-01 17,서울 강남구 ,강남구,111261,0.008,0.3,0.021,0.022,28,12
2016-12-01 18,서울 강남구 ,강남구,111261,0.008,0.3,0.021,0.021,40,14
2016-12-01 19,서울 강남구 ,강남구,111261,0.007,0.4,0.017,0.023,28,12
2016-12-01 20,서울 강남구 ,강남구,111261,0.007,0.3,0.019,0.02,35,13
2016-12-01 21,서울 강남구 ,강남구,111261,0.008,0.3,0.019,0.02,31,16
2016-12-01 22,서울 강남구 ,강남구,111261,0.007,0.4,0.013,0.027,31,14
2016-12-01 23,서울 강남구 ,강남구,111261,0.006,0.4,0.013,0.025,29,19
2016-12-01 24,서울 강남구 ,강남구,111261,0.006,0.3,0.016,0.022,22,10
2016-12-02 01,서울 강남구 ,강남구,111261,0.007,0.3,0.021,0.016,26,8
2016-12-02 02,서울 강남구 ,강남구,111261,0.006,0.3,0.016,0.022,30,15
2016-12-02 03,서울 강남구 ,강남구,111261,0.008,0.4,0.016,0.021,23,15
2016-12-02 04,서울 강남구 ,강남구,111261,0.008,0.4,0.012,0.025,27,11
2016-12-02 05,서울 강남구 ,강남구,111261,0.007,0.3,0.016,0.02,29,14
2016-12-02 06,서울 강남구 ,강남구,111261,0.007,0.4,0.014,0.022,33,15
2016-12-02 07,서울 강남구 ,강남구,111261,0.007,0.4,0.004,0.035,34,17
2016-12-02 08,서울 강남구 ,강남구,111261,0.007,0.5,0.002,0.039,38,11
2016-12-02 09,서울 강남구 ,강남구,111261,0.006,0.6,0.005,0.04,44,18
2016-12-02 10,서울 강남구 ,강남구,111261,0.007,0.8,0.003,0.048,54,24
2016-12-02 11,서울 강남구 ,강남구,111261,0.008,0.7,0.006,0.042,54,23
2016-12-02 12,서울 강남구 ,강남구,111261,0.008,0.4,0.013,0.029,48,24
2016-12-02 13,서울 강남구 ,강남구,111261,0.007,0.4,0.018,0.025,43,9
2016-12-02 14,서울 강남구 ,강남구,111261,0.007,0.4,0.022,0.022,37,12
2016-12-02 15,서울 강남구 ,강남구,111261,0.006,0.4,0.014,0.031,43,18
2016-12-02 16,서울 강남구 ,강남구,111261,0.008,0.4,0.018,0.029,32,11
2016-12-02 17,서울 강남구 ,강남구,111261,0.006,0.4,0.013,0.038,52,26
2016-12-02 18,서울 강남구 ,강남구,111261,0.008,0.4,0.011,0.037,46,19
2016-12-02 19,서울 강남구 ,강남구,111261,0.007,0.5,0.007,0.041,36,11
2016-12-02 20,서울 강남구 ,강남구,111261,0.008,0.4,0.006,0.041,37,15
2016-12-02 21,서울 강남구 ,강남구,111261,0.008,0.4,0.007,0.04,45,24
2016-12-02 22,서울 강남구 ,강남구,111261,0.008,0.6,0.002,0.05,42,21
2016-12-02 23,서울 강남구 ,강남구,111261,0.007,0.8,0.003,0.058,62,33
2016-12-02 24,서울 강남구 ,강남구,111261,0.009,0.9,0.003,0.057,76,32
2016-12-03 01,서울 강남구 ,강남구,111261,0.008,0.9,0.003,0.054,69,38
2016-12-03 02,서울 강남구 ,강남구,111261,0.008,0.7,0.002,0.045,57,31
2016-12-03 03,서울 강남구 ,강남구,111261,0.008,0.7,0.002,0.045,48,24
2016-12-03 04,서울 강남구 ,강남구,111261,0.008,0.7,0.002,0.043,52,27
2016-12-03 05,서울 강남구 ,강남구,111261,0.009,0.7,0.002,0.04,55,29
2016-12-03 06,서울 강남구 ,강남구,111261,0.008,0.7,0.002,0.038,48,25
2016-12-03 07,서울 강남구 ,강남구,111261,0.008,0.6,0.002,0.04,50,23
2016-12-03 08,서울 강남구 ,강남구,111261,0.008,0.7,0.002,0.041,53,24
2016-12-03 09,서울 강남구 ,강남구,111261,0.008,0.6,0.003,0.039,50,27
2016-12-03 10,서울 강남구 ,강남구,111261,0.008,0.8,0.003,0.044,51,24
2016-12-03 11,서울 강남구 ,강남구,111261,0.009,1,0.004,0.053,65,32
2016-12-03 12,서울 강남구 ,강남구,111261,0.007,0.7,0.012,0.039,61,24
2016-12-03 13,서울 강남구 ,강남구,111261,0.008,0.4,0.021,0.025,38,22
2016-12-03 14,서울 강남구 ,강남구,111261,0.008,0.5,0.015,0.036,45,28
2016-12-03 15,서울 강남구 ,강남구,111261,0.007,0.5,0.012,0.04,59,35
2016-12-03 16,서울 강남구 ,강남구,111261,0.008,0.5,0.011,0.043,49,26
2016-12-03 17,서울 강남구 ,강남구,111261,0.008,0.5,0.007,0.047,59,32
2016-12-03 18,서울 강남구 ,강남구,111261,0.008,0.6,0.003,0.057,59,34
2016-12-03 19,서울 강남구 ,강남구,111261,0.008,0.7,0.002,0.061,68,42
2016-12-03 20,서울 강남구 ,강남구,111261,0.008,0.7,0.002,0.059,76,39
2016-12-03 21,서울 강남구 ,강남구,111261,0.008,0.7,0.002,0.055,80,53
