날짜,시도,측정소명,측정소코드,아황산가스,일산화탄소,오존,이산화질소,PM10,PM2.5
2016-05-01 01,서울 강남구 ,강남구,111261,0.007,0.5,0.07,0.019,71,35
2016-05-01 02,서울 강남구 ,강남구,111261,0.006,0.5,0.067,0.018,66,32
2016-05-01 03,서울 강남구 ,강남구,111261,0.006,0.4,0.062,0.019,57,26
2016-05-01 04,서울 강남구 ,강남구,111261,0.004,0.4,0.056,0.023,53,24
2016-05-01 05,서울 강남구 ,강남구,111261,0.005,0.4,0.05,0.025,56,29
2016-05-01 06,서울 강남구 ,강남구,111261,0.005,0.5,0.034,0.04,62,29
2016-05-01 07,서울 강남구 ,강남구,111261,0.005,0.5,0.026,0.048,61,35
2016-05-01 08,서울 강남구 ,강남구,111261,0.005,0.4,0.037,0.039,54,23
2016-05-01 09,서울 강남구 ,강남구,111261,0.005,0.4,0.034,0.044,53,31
2016-05-01 10,서울 강남구 ,강남구,111261,0.005,0.4,0.037,0.043,58,31
2016-05-01 11,서울 강남구 ,강남구,111261,0.005,0.4,0.056,0.026,62,13
2016-05-01 12,서울 강남구 ,강남구,111261,0.006,0.3,0.065,0.018,37,19
2016-05-01 13,서울 강남구 ,강남구,111261,0.007,0.3,0.071,0.016,41,20
2016-05-01 14,서울 강남구 ,강남구,111261,0.007,0.4,0.072,0.016,40,14
2016-05-01 15,서울 강남구 ,강남구,111261,0.007,0.3,0.066,0.012,31,16
2016-05-01 16,서울 강남구 ,강남구,111261,0.006,0.2,0.062,0.013,18,8
2016-05-01 17,서울 강남구 ,강남구,111261,0.006,0.3,0.063,0.013,23,9
2016-05-01 18,서울 강남구 ,강남구,111261,0.004,0.3,0.062,0.016,23,2
2016-05-01 19,서울 강남구 ,강남구,111261,0.005,0.2,0.058,0.015,23,14
2016-05-01 20,서울 강남구 ,강남구,111261,0.005,0.3,0.053,0.019,27,20
2016-05-01 21,서울 강남구 ,강남구,111261,0.008,0.5,0.045,0.026,36,18
2016-05-01 22,서울 강남구 ,강남구,111261,0.007,0.6,0.038,0.029,43,23
2016-05-01 23,서울 강남구 ,강남구,111261,0.007,0.5,0.042,0.024,39,17
