날짜,시도,측정소명,측정소코드,아황산가스,일산화탄소,오존,이산화질소,PM10,PM2.5
2016-10-01 01,서울 강남구 ,강남구,111261,0.004,0.6,0.001,0.045,49,24
2016-10-01 02,서울 강남구 ,강남구,111261,0.004,0.5,0.001,0.039,47,27
2016-10-01 03,서울 강남구 ,강남구,111261,0.004,0.5,0.001,0.035,45,21
2016-10-01 04,서울 강남구 ,강남구,111261,0.004,0.5,0.001,0.033,45,24
2016-10-01 05,서울 강남구 ,강남구,111261,0.004,0.5,0.001,0.031,44,23
2016-10-01 06,서울 강남구 ,강남구,111261,0.004,0.5,0.001,0.031,40,26
2016-10-01 07,서울 강남구 ,강남구,111261,0.003,0.4,0.001,0.028,52,20
2016-10-01 08,서울 강남구 ,강남구,111261,0.004,0.4,0.001,0.027,48,20
2016-10-01 09,서울 강남구 ,강남구,111261,0.004,0.4,0.003,0.028,49,18
2016-10-01 10,서울 강남구 ,강남구,111261,0.004,0.4,0.006,0.026,44,26
2016-10-01 11,서울 강남구 ,강남구,111261,0.004,0.4,0.006,0.03,43,16
2016-10-01 12,서울 강남구 ,강남구,111261,0.004,0.4,0.012,0.03,46,22
2016-10-01 13,서울 강남구 ,강남구,111261,0.003,0.4,0.013,0.037,44,23
2016-10-01 14,서울 강남구 ,강남구,111261,0.004,0.4,0.014,0.04,45,24
2016-10-01 15,서울 강남구 ,강남구,111261,0.004,0.4,0.013,0.046,47,26
2016-10-01 16,서울 강남구 ,강남구,111261,0.004,0.4,0.025,0.034,50,32
2016-10-01 17,서울 강남구 ,강남구,111261,0.003,0.4,0.031,0.032,39,34
2016-10-01 18,서울 강남구 ,강남구,111261,0.005,0.4,0.028,0.036,64,35
2016-10-01 19,서울 강남구 ,강남구,111261,0.004,0.4,0.025,0.035,47,27
2016-10-01 20,서울 강남구 ,강남구,111261,0.004,0.4,0.019,0.038,57,27
2016-10-01 21,서울 강남구 ,강남구,111261,0.003,0.4,0.016,0.037,48,33
2016-10-01 22,서울 강남구 ,강남구,111261,0.003,0.5,0.003,0.053,58,36
2016-10-01 23,서울 강남구 ,강남구,111261,0.004,0.6,0.001,0.053,53,36
2016-10-01 24,서울 강남구 ,강남구,111261,0.004,0.5,0.001,0.048,47,26
2016-10-02 01,서울 강남구 ,강남구,111261,0.004,0.5,0.001,0.043,52,30
2016-10-02 02,서울 강남구 ,강남구,111261,0.004,0.5,0.002,0.034,40,23
2016-10-02 03,서울 강남구 ,강남구,111261,0.004,0.4,0.002,0.029,45,25
2016-10-02 04,서울 강남구 ,강남구,111261,0.003,0.4,0.006,0.024,38,22
2016-10-02 05,서울 강남구 ,강남구,111261,0.004,0.4,0.008,0.018,34,23
2016-10-02 06,서울 강남구 ,강남구,111261,0.003,0.4,0.009,0.018,31,19
2016-10-02 07,서울 강남구 ,강남구,111261,0.004,0.4,0.006,0.019,33,18
2016-10-02 08,서울 강남구 ,강남구,111261,0.004,0.3,0.006,0.022,24,17
2016-10-02 09,서울 강남구 ,강남구,111261,0.004,0.3,0.007,0.021,35,15
2016-10-02 10,서울 강남구 ,강남구,111261,0.004,0.4,0.003,0.025,42,20
2016-10-02 11,서울 강남구 ,강남구,111261,0.003,0.5,0.003,0.028,35,16
2016-10-02 12,서울 강남구 ,강남구,111261,0.004,0.4,0.004,0.029,39,21
2016-10-02 13,서울 강남구 ,강남구,111261,0.004,0.3,0.015,0.027,34,15
2016-10-02 14,서울 강남구 ,강남구,111261,0.004,0.4,0.011,0.034,25,9
2016-10-02 15,서울 강남구 ,강남구,111261,0.004,0.3,0.011,0.029,23,10
2016-10-02 16,서울 강남구 ,강남구,111261,0.003,0.3,0.022,0.017,19,10
2016-10-02 17,서울 강남구 ,강남구,111261,0.003,0.3,0.013,0.027,22,12
2016-10-02 18,서울 강남구 ,강남구,111261,0.004,0.3,0.013,0.029,18,11
2016-10-02 19,서울 강남구 ,강남구,111261,0.004,0.3,0.009,0.033,23,7
2016-10-02 20,서울 강남구 ,강남구,111261,0.003,0.4,0.007,0.033,18,10
2016-10-02 21,서울 강남구 ,강남구,111261,0.004,0.4,0.007,0.025,20,14
2016-10-02 22,서울 강남구 ,강남구,111261,0.004,0.3,0.008,0.021,21,12
2016-10-02 23,서울 강남구 ,강남구,111261,0.004,0.3,0.008,0.018,19,12
2016-10-02 24,서울 강남구 ,강남구,111261,0.004,0.3,0.006,0.017,24,11
2016-10-03 01,서울 강남구 ,강남구,111261,0.003,0.3,0.007,0.013,21,12
2016-10-03 02,서울 강남구 ,강남구,111261,0.004,0.3,0.01,0.008,21,14
2016-10-03 03,서울 강남구 ,강남구,111261,0.004,0.2,0.011,0.007,20,14
2016-10-03 04,서울 강남구 ,강남구,111261,0.003,0.2,0.014,0.005,21,12
2016-10-03 05,서울 강남구 ,강남구,111261,0.004,0.2,0.021,0.005,14,7
2016-10-03 06,서울 강남구 ,강남구,111261,0.004,0.2,0.023,0.006,4,5
2016-10-03 07,서울 강남구 ,강남구,111261,0.004,0.3,0.017,0.013,12,5
2016-10-03 08,서울 강남구 ,강남구,111261,0.004,0.3,0.01,0.022,9,5
2016-10-03 09,서울 강남구 ,강남구,111261,0.004,0.2,0.017,0.016,10,5
2016-10-03 10,서울 강남구 ,강남구,111261,0.003,0.3,0.018,0.016,1,1
2016-10-03 11,서울 강남구 ,강남구,111261,0.004,0.3,0.02,0.017,4,3
2016-10-03 12,서울 강남구 ,강남구,111261,0.003,0.3,0.023,0.016,5,6
2016-10-03 13,서울 강남구 ,강남구,111261,0.004,0.3,0.023,0.019,11,1
2016-10-03 14,서울 강남구 ,강남구,111261,0.003,0.3,0.026,0.02,9,8
2016-10-03 15,서울 강남구 ,강남구,111261,0.004,0.3,0.034,0.018,11,7
2016-10-03 16,서울 강남구 ,강남구,111261,0.004,0.3,0.039,0.017,10,6
2016-10-03 17,서울 강남구 ,강남구,111261,0.003,0.3,0.034,0.021,17,11
2016-10-03 18,서울 강남구 ,강남구,111261,0.004,0.3,0.027,0.027,25,16
2016-10-03 19,서울 강남구 ,강남구,111261,0.004,0.3,0.023,0.027,23,14
2016-10-03 20,서울 강남구 ,강남구,111261,0.004,0.4,0.013,0.036,26,11
2016-10-03 21,서울 강남구 ,강남구,111261,0.004,0.4,0.016,0.033,26,13
2016-10-03 22,서울 강남구 ,강남구,111261,0.004,0.4,0.017,0.034,39,15
2016-10-03 23,서울 강남구 ,강남구,111261,0.004,0.4,0.007,0.044,36,11
2016-10-03 24,서울 강남구 ,강남구,111261,0.004,0.5,0.002,0.051,41,23
2016-10-04 01,서울 강남구 ,강남구,111261,0.004,0.5,0.001,0.049,37,16
2016-10-04 02,서울 강남구 ,강남구,111261,0.005,0.5,0.001,0.037,40,24
2016-10-04 03,서울 강남구 ,강남구,111261,0.004,0.4,0.007,0.028,43,14
2016-10-04 04,서울 강남구 ,강남구,111261,0.004,0.4,0.008,0.026,37,21
2016-10-04 05,서울 강남구 ,강남구,111261,0.005,0.3,0.012,0.022,39,21
2016-10-04 06,서울 강남구 ,강남구,111261,0.004,0.3,0.003,0.028,40,16
2016-10-04 07,서울 강남구 ,강남구,111261,0.004,0.3,0.002,0.033,40,19
2016-10-04 08,서울 강남구 ,강남구,111261,0.004,0.3,0.003,0.031,35,16
2016-10-04 09,서울 강남구 ,강남구,111261,0.003,0.4,0.006,0.031,35,15
2016-10-04 10,서울 강남구 ,강남구,111261,0.004,0.3,0.011,0.03,36,18
2016-10-04 11,서울 강남구 ,강남구,111261,0.004,0.3,0.019,0.024,32,10
2016-10-04 12,서울 강남구 ,강남구,111261,0.003,0.3,0.027,0.018,32,16
2016-10-04 13,서울 강남구 ,강남구,111261,0.004,0.3,0.028,0.019,30,7
2016-10-04 14,서울 강남구 ,강남구,111261,0.004,0.3,0.031,0.02,26,9
2016-10-04 15,서울 강남구 ,강남구,111261,0.003,0.3,0.031,0.024,27,15
2016-10-04 16,서울 강남구 ,강남구,111261,0.004,0.3,0.035,0.022,36,9
2016-10-04 17,서울 강남구 ,강남구,111261,0.004,0.3,0.028,0.032,36,20
2016-10-04 18,서울 강남구 ,강남구,111261,0.004,0.3,0.02,0.039,39,24
2016-10-04 19,서울 강남구 ,강남구,111261,0.004,0.3,0.014,0.037,41,21
2016-10-04 20,서울 강남구 ,강남구,111261,0.003,0.4,0.006,0.04,34,16
2016-10-04 21,서울 강남구 ,강남구,111261,0.004,0.4,0.004,0.039,35,15
2016-10-04 22,서울 강남구 ,강남구,111261,0.004,0.3,0.009,0.03,26,11
2016-10-04 23,서울 강남구 ,강남구,111261,0.004,0.3,0.008,0.029,23,8
2016-10-04 24,서울 강남구 ,강남구,111261,0.004,0.3,0.015,0.019,16,9
2016-10-05 01,서울 강남구 ,강남구,111261,0.003,0.3,0.019,0.014,20,8
2016-10-05 02,서울 강남구 ,강남구,111261,0.003,0.3,0.025,0.009,11,4
2016-10-05 03,서울 강남구 ,강남구,111261,0.003,0.3,0.026,0.008,15,6
2016-10-05 04,서울 강남구 ,강남구,111261,0.003,0.2,0.026,0.008,12,6
2016-10-05 05,서울 강남구 ,강남구,111261,0.003,0.3,0.024,0.011,19,6
2016-10-05 06,서울 강남구 ,강남구,111261,0.004,0.3,0.022,0.012,13,7
2016-10-05 07,서울 강남구 ,강남구,111261,0.003,0.3,0.013,0.025,21,8
2016-10-05 08,서울 강남구 ,강남구,111261,0.003,0.3,0.007,0.032,22,9
2016-10-05 09,서울 강남구 ,강남구,111261,0.003,0.3,0.009,0.028,26,6
2016-10-05 10,서울 강남구 ,강남구,111261,0.003,0.3,0.013,0.024,26,5
2016-10-05 11,서울 강남구 ,강남구,111261,0.004,0.4,0.012,0.027,22,15
2016-10-05 12,서울 강남구 ,강남구,111261,0.004,0.3,0.017,0.022,28,13
2016-10-05 13,서울 강남구 ,강남구,111261,0.004,0.3,0.024,0.02,23,5
2016-10-05 14,서울 강남구 ,강남구,111261,0.004,0.3,0.032,0.016,18,8
2016-10-05 15,서울 강남구 ,강남구,111261,0.003,0.3,0.036,0.023,24,12
2016-10-05 16,서울 강남구 ,강남구,111261,0.003,0.3,0.039,0.02,31,15
2016-10-05 17,서울 강남구 ,강남구,111261,0.003,0.3,0.033,0.02,33,13
2016-10-05 18,서울 강남구 ,강남구,111261,0.004,0.3,0.023,0.031,28,14
2016-10-05 19,서울 강남구 ,강남구,111261,0.003,0.4,0.015,0.042,46,17
2016-10-05 20,서울 강남구 ,강남구,111261,0.004,0.5,0.007,0.053,46,24
2016-10-05 21,서울 강남구 ,강남구,111261,0.004,0.4,0.016,0.04,54,26
2016-10-05 22,서울 강남구 ,강남구,111261,0.003,0.4,0.021,0.03,55,32
2016-10-05 23,서울 강남구 ,강남구,111261,0.004,0.4,0.027,0.021,54,20
2016-10-05 24,서울 강남구 ,강남구,111261,0.004,0.4,0.028,0.022,49,24
2016-10-06 01,서울 강남구 ,강남구,111261,0.004,0.4,0.041,0.013,54,29
2016-10-06 02,서울 강남구 ,강남구,111261,0.004,0.4,0.038,0.01,45,26
2016-10-06 03,서울 강남구 ,강남구,111261,0.003,0.4,0.034,0.009,48,18
2016-10-06 04,서울 강남구 ,강남구,111261,0.003,0.4,0.03,0.008,46,21
2016-10-06 05,서울 강남구 ,강남구,111261,0.004,0.4,0.026,0.01,42,17
2016-10-06 06,서울 강남구 ,강남구,111261,0.004,0.4,0.018,0.015,45,23
2016-10-06 07,서울 강남구 ,강남구,111261,0.004,0.4,0.009,0.025,53,23
2016-10-06 08,서울 강남구 ,강남구,111261,0.004,0.4,0.006,0.028,47,16
2016-10-06 09,서울 강남구 ,강남구,111261,0.003,0.5,0.006,0.03,43,19
2016-10-06 10,서울 강남구 ,강남구,111261,0.005,0.4,0.012,0.026,44,13
2016-10-06 11,서울 강남구 ,강남구,111261,0.004,0.4,0.015,0.026,44,18
2016-10-06 12,서울 강남구 ,강남구,111261,0.004,0.4,0.018,0.026,41,18
2016-10-06 13,서울 강남구 ,강남구,111261,0.004,0.4,0.021,0.027,44,13
2016-10-06 14,서울 강남구 ,강남구,111261,0.004,0.4,0.027,0.026,39,17
2016-10-06 15,서울 강남구 ,강남구,111261,0.004,0.4,0.027,0.031,35,13
2016-10-06 16,서울 강남구 ,강남구,111261,0.003,0.4,0.03,0.037,40,19
2016-10-06 17,서울 강남구 ,강남구,111261,0.004,0.4,0.041,0.033,52,25
2016-10-06 18,서울 강남구 ,강남구,111261,0.004,0.4,0.029,0.035,54,19
2016-10-06 19,서울 강남구 ,강남구,111261,0.004,0.4,0.02,0.035,47,15
2016-10-06 20,서울 강남구 ,강남구,111261,0.004,0.4,0.011,0.041,33,14
2016-10-06 21,서울 강남구 ,강남구,111261,0.003,0.5,0.005,0.048,29,10
2016-10-06 22,서울 강남구 ,강남구,111261,0.004,0.5,0.006,0.044,41,23
2016-10-06 23,서울 강남구 ,강남구,111261,0.003,0.4,0.005,0.042,41,18
2016-10-06 24,서울 강남구 ,강남구,111261,0.004,0.5,0.001,0.045,51,24
2016-10-07 01,서울 강남구 ,강남구,111261,0.003,0.4,0.007,0.036,48,25
2016-10-07 02,서울 강남구 ,강남구,111261,0.004,0.4,0.01,0.029,44,19
2016-10-07 03,서울 강남구 ,강남구,111261,0.003,0.4,0.008,0.026,41,22
2016-10-07 04,서울 강남구 ,강남구,111261,0.004,0.4,0.014,0.018,37,16
2016-10-07 05,서울 강남구 ,강남구,111261,0.003,0.3,0.016,0.014,27,17
2016-10-07 06,서울 강남구 ,강남구,111261,0.004,0.3,0.01,0.019,18,12
2016-10-07 07,서울 강남구 ,강남구,111261,0.003,0.3,0.003,0.027,22,8
2016-10-07 08,서울 강남구 ,강남구,111261,0.004,0.4,0.002,0.03,14,8
2016-10-07 09,서울 강남구 ,강남구,111261,0.004,0.4,0.004,0.03,26,12
2016-10-07 10,서울 강남구 ,강남구,111261,0.004,0.4,0.006,0.032,22,10
2016-10-07 11,서울 강남구 ,강남구,111261,0.003,0.3,0.019,0.02,21,9
2016-10-07 12,서울 강남구 ,강남구,111261,0.004,0.3,0.023,0.021,26,8
2016-10-07 13,서울 강남구 ,강남구,111261,0.003,0.3,0.027,0.018,33,6
2016-10-07 14,서울 강남구 ,강남구,111261,0.003,0.3,0.029,0.018,26,13
2016-10-07 15,서울 강남구 ,강남구,111261,0.003,0.3,0.032,0.019,27,8
2016-10-07 16,서울 강남구 ,강남구,111261,0.003,0.3,0.03,0.021,29,11
2016-10-07 17,서울 강남구 ,강남구,111261,0.004,0.3,0.014,0.037,38,12
2016-10-07 18,서울 강남구 ,강남구,111261,0.004,0.4,0.006,0.043,35,14
2016-10-07 19,서울 강남구 ,강남구,111261,0.003,0.4,0.008,0.037,29,15
2016-10-07 20,서울 강남구 ,강남구,111261,0.004,0.4,0.006,0.04,29,14
2016-10-07 21,서울 강남구 ,강남구,111261,0.003,0.4,0.009,0.033,32,19
2016-10-07 22,서울 강남구 ,강남구,111261,0.004,0.3,0.017,0.024,23,18
2016-10-07 23,서울 강남구 ,강남구,111261,0.004,0.4,0.012,0.027,23,14
2016-10-07 24,서울 강남구 ,강남구,111261,0.003,0.3,0.021,0.02,22,8
2016-10-08 01,서울 강남구 ,강남구,111261,0.004,0.3,0.019,0.02,14,8
2016-10-08 02,서울 강남구 ,강남구,111261,0.003,0.3,0.019,0.017,10,10
2016-10-08 03,서울 강남구 ,강남구,111261,0.003,0.3,0.019,0.015,13,5
2016-10-08 04,서울 강남구 ,강남구,111261,0.004,0.3,0.017,0.014,14,6
2016-10-08 05,서울 강남구 ,강남구,111261,0.003,0.3,0.011,0.021,10,7
2016-10-08 06,서울 강남구 ,강남구,111261,0.004,0.3,0.011,0.019,9,6
2016-10-08 07,서울 강남구 ,강남구,111261,0.003,0.3,0.005,0.029,9,7
2016-10-08 08,서울 강남구 ,강남구,111261,0.004,0.3,0.006,0.033,10,6
2016-10-08 09,서울 강남구 ,강남구,111261,0.003,0.3,0.02,0.026,10,8
2016-10-08 10,서울 강남구 ,강남구,111261,0.004,0.3,0.02,0.026,16,6
2016-10-08 11,서울 강남구 ,강남구,111261,0.003,0.3,0.027,0.022,23,14
2016-10-08 12,서울 강남구 ,강남구,111261,0.004,0.3,0.031,0.018,26,12
2016-10-08 13,서울 강남구 ,강남구,111261,0.004,0.3,0.042,0.012,26,13
2016-10-08 14,서울 강남구 ,강남구,111261,0.003,0.3,0.041,0.014,30,15
2016-10-08 15,서울 강남구 ,강남구,111261,0.004,0.3,0.04,0.013,27,11
2016-10-08 16,서울 강남구 ,강남구,111261,0.004,0.3,0.039,0.015,24,12
2016-10-08 17,서울 강남구 ,강남구,111261,0.003,0.4,0.041,0.019,35,16
2016-10-08 18,서울 강남구 ,강남구,111261,0.004,0.4,0.039,0.018,41,20
2016-10-08 19,서울 강남구 ,강남구,111261,0.004,0.4,0.036,0.017,38,17
2016-10-08 20,서울 강남구 ,강남구,111261,0.004,0.4,0.032,0.019,37,13
2016-10-08 21,서울 강남구 ,강남구,111261,0.003,0.3,0.033,0.013,26,18
2016-10-08 22,서울 강남구 ,강남구,111261,0.004,0.3,0.028,0.013,35,14
2016-10-08 23,서울 강남구 ,강남구,111261,0.003,0.3,0.026,0.011,37,10
2016-10-08 24,서울 강남구 ,강남구,111261,0.003,0.3,0.024,0.01,38,19
2016-10-09 01,서울 강남구 ,강남구,111261,0.004,0.3,0.023,0.01,38,16
2016-10-09 02,서울 강남구 ,강남구,111261,0.004,0.3,0.025,0.008,28,13
2016-10-09 03,서울 강남구 ,강남구,111261,0.004,0.3,0.026,0.008,17,9
2016-10-09 04,서울 강남구 ,강남구,111261,0.003,0.3,0.026,0.007,14,10
2016-10-09 05,서울 강남구 ,강남구,111261,0.003,0.3,0.025,0.007,16,6
2016-10-09 06,서울 강남구 ,강남구,111261,0.003,0.3,0.024,0.009,13,8
2016-10-09 07,서울 강남구 ,강남구,111261,0.003,0.3,0.023,0.011,17,7
2016-10-09 08,서울 강남구 ,강남구,111261,0.003,0.3,0.02,0.013,17,10
2016-10-09 09,서울 강남구 ,강남구,111261,0.004,0.3,0.023,0.011,13,11
2016-10-09 10,서울 강남구 ,강남구,111261,0.004,0.3,0.024,0.011,10,7
2016-10-09 11,서울 강남구 ,강남구,111261,0.003,0.3,0.024,0.011,14,5
2016-10-09 12,서울 강남구 ,강남구,111261,0.004,0.3,0.025,0.013,15,7
2016-10-09 13,서울 강남구 ,강남구,111261,0.004,0.2,0.031,0.01,16,8
2016-10-09 14,서울 강남구 ,강남구,111261,0.003,0.3,0.032,0.013,12,6
2016-10-09 15,서울 강남구 ,강남구,111261,0.004,0.3,0.034,0.014,15,8
2016-10-09 16,서울 강남구 ,강남구,111261,0.003,0.3,0.035,0.014,17,14
2016-10-09 17,서울 강남구 ,강남구,111261,0.004,0.3,0.032,0.017,18,10
2016-10-09 18,서울 강남구 ,강남구,111261,0.003,0.3,0.028,0.019,27,10
2016-10-09 19,서울 강남구 ,강남구,111261,0.003,0.3,0.026,0.018,17,13
2016-10-09 20,서울 강남구 ,강남구,111261,0.003,0.3,0.025,0.019,18,8
2016-10-09 21,서울 강남구 ,강남구,111261,0.004,0.3,0.027,0.019,18,13
