날짜,시도,측정소명,측정소코드,아황산가스,일산화탄소,오존,이산화질소,PM10,PM2.5
2016-07-01 01,서울 강남구 ,강남구,111261,0.004,0.2,0.027,0.014,38,29
2016-07-01 02,서울 강남구 ,강남구,111261,0.005,0.3,0.029,0.01,39,34
2016-07-01 03,서울 강남구 ,강남구,111261,0.004,0.2,0.033,0.007,19,12
2016-07-01 04,서울 강남구 ,강남구,111261,0.004,0.2,0.031,0.007,17,13
2016-07-01 05,서울 강남구 ,강남구,111261,0.004,0.2,0.029,0.007,25,19
2016-07-01 06,서울 강남구 ,강남구,111261,0.004,0.2,0.025,0.009,16,10
2016-07-01 07,서울 강남구 ,강남구,111261,0.004,0.2,0.017,0.019,12,12
2016-07-01 08,서울 강남구 ,강남구,111261,0.004,0.2,0.011,0.025,27,16
2016-07-01 09,서울 강남구 ,강남구,111261,0.003,0.2,0.01,0.025,17,13
2016-07-01 10,서울 강남구 ,강남구,111261,0.004,0.2,0.011,0.026,11,8
2016-07-01 11,서울 강남구 ,강남구,111261,0.005,0.2,0.015,0.022,14,5
2016-07-01 12,서울 강남구 ,강남구,111261,0.004,0.2,0.014,0.023,15,13
2016-07-01 13,서울 강남구 ,강남구,111261,0.005,0.3,0.015,0.024,26,15
2016-07-01 14,서울 강남구 ,강남구,111261,0.005,0.3,0.009,0.032,35,23
2016-07-01 15,서울 강남구 ,강남구,111261,0.004,0.4,0.007,0.039,28,16
2016-07-01 16,서울 강남구 ,강남구,111261,0.004,0.3,0.011,0.031,17,16
2016-07-01 17,서울 강남구 ,강남구,111261,0,0,0,0,6,1
2016-07-01 18,서울 강남구 ,강남구,111261,0,0,0,0,7,4
2016-07-01 19,서울 강남구 ,강남구,111261,0.004,0.3,0.006,0.031,7,6
2016-07-01 20,서울 강남구 ,강남구,111261,0.004,0.3,0.007,0.029,6,0
2016-07-01 21,서울 강남구 ,강남구,111261,0.004,0.4,0.003,0.039,6,6
2016-07-01 22,서울 강남구 ,강남구,111261,0.004,0.5,0.002,0.037,13,12
2016-07-01 23,서울 강남구 ,강남구,111261,0.005,0.3,0.007,0.022,13,8
2016-07-01 24,서울 강남구 ,강남구,111261,0.004,0.2,0.013,0.02,5,7
2016-07-02 01,서울 강남구 ,강남구,111261,0.004,0.3,0.015,0.018,5,5
2016-07-02 02,서울 강남구 ,강남구,111261,0.004,0.2,0.017,0.01,11,9
2016-07-02 03,서울 강남구 ,강남구,111261,0.004,0.2,0.02,0.009,10,7
2016-07-02 04,서울 강남구 ,강남구,111261,0.004,0.2,0.023,0.009,8,4
2016-07-02 05,서울 강남구 ,강남구,111261,0.004,0.2,0.024,0.008,7,7
2016-07-02 06,서울 강남구 ,강남구,111261,0.004,0.3,0.015,0.016,10,7
2016-07-02 07,서울 강남구 ,강남구,111261,0.003,0.2,0.014,0.022,4,9
2016-07-02 08,서울 강남구 ,강남구,111261,0.004,0.2,0.016,0.026,9,2
2016-07-02 09,서울 강남구 ,강남구,111261,0.003,0.3,0.02,0.023,2,2
2016-07-02 10,서울 강남구 ,강남구,111261,0.004,0.3,0.022,0.021,9,4
2016-07-02 11,서울 강남구 ,강남구,111261,0.004,0.3,0.029,0.016,13,9
2016-07-02 12,서울 강남구 ,강남구,111261,0.004,0.2,0.032,0.015,8,1
2016-07-02 13,서울 강남구 ,강남구,111261,0.004,0.2,0.04,0.012,9,10
2016-07-02 14,서울 강남구 ,강남구,111261,0.004,0.2,0.041,0.012,12,9
2016-07-02 15,서울 강남구 ,강남구,111261,0.004,0.2,0.042,0.012,16,8
2016-07-02 16,서울 강남구 ,강남구,111261,0.004,0.2,0.04,0.013,18,13
2016-07-02 17,서울 강남구 ,강남구,111261,0.004,0.2,0.046,0.013,17,14
2016-07-02 18,서울 강남구 ,강남구,111261,0.004,0.3,0.046,0.015,24,19
2016-07-02 19,서울 강남구 ,강남구,111261,0.005,0.3,0.039,0.019,32,0
2016-07-02 20,서울 강남구 ,강남구,111261,0.005,0.3,0.036,0.015,26,17
2016-07-02 21,서울 강남구 ,강남구,111261,0.004,0.3,0.026,0.022,24,14
2016-07-02 22,서울 강남구 ,강남구,111261,0.004,0.3,0.018,0.028,27,15
2016-07-02 23,서울 강남구 ,강남구,111261,0.004,0.2,0.023,0.021,17,13
2016-07-02 24,서울 강남구 ,강남구,111261,0.004,0.2,0.028,0.013,18,12
2016-07-03 01,서울 강남구 ,강남구,111261,0.004,0.2,0.031,0.01,17,14
2016-07-03 02,서울 강남구 ,강남구,111261,0.004,0.2,0.033,0.008,23,13
2016-07-03 03,서울 강남구 ,강남구,111261,0.004,0.3,0.029,0.009,21,15
2016-07-03 04,서울 강남구 ,강남구,111261,0.005,0.2,0.035,0.006,22,22
2016-07-03 05,서울 강남구 ,강남구,111261,0.004,0.2,0.042,0.004,25,16
2016-07-03 06,서울 강남구 ,강남구,111261,0.003,0.3,0.041,0.006,30,20
2016-07-03 07,서울 강남구 ,강남구,111261,0.004,0.3,0.04,0.007,42,34
2016-07-03 08,서울 강남구 ,강남구,111261,0.004,0.3,0.044,0.008,42,31
2016-07-03 09,서울 강남구 ,강남구,111261,0.004,0.3,0.047,0.009,36,30
2016-07-03 10,서울 강남구 ,강남구,111261,0.004,0.3,0.042,0.012,39,32
2016-07-03 11,서울 강남구 ,강남구,111261,0.005,0.4,0.048,0.013,39,30
2016-07-03 12,서울 강남구 ,강남구,111261,0.005,0.4,0.049,0.015,54,38
2016-07-03 13,서울 강남구 ,강남구,111261,0.004,0.4,0.05,0.015,53,39
2016-07-03 14,서울 강남구 ,강남구,111261,0.005,0.4,0.052,0.015,49,39
2016-07-03 15,서울 강남구 ,강남구,111261,0.004,0.4,0.052,0.015,53,39
2016-07-03 16,서울 강남구 ,강남구,111261,0.005,0.4,0.054,0.018,51,41
2016-07-03 17,서울 강남구 ,강남구,111261,0.004,0.4,0.052,0.02,51,45
2016-07-03 18,서울 강남구 ,강남구,111261,0.005,0.3,0.054,0.014,28,20
2016-07-03 19,서울 강남구 ,강남구,111261,0.005,0.4,0.053,0.013,39,29
2016-07-03 20,서울 강남구 ,강남구,111261,0.004,0.3,0.048,0.013,40,35
2016-07-03 21,서울 강남구 ,강남구,111261,0.004,0.4,0.039,0.022,45,35
2016-07-03 22,서울 강남구 ,강남구,111261,0.004,0.4,0.019,0.038,50,35
2016-07-03 23,서울 강남구 ,강남구,111261,0.004,0.4,0.01,0.042,47,38
2016-07-03 24,서울 강남구 ,강남구,111261,0.004,0.4,0.002,0.047,49,34
2016-07-04 01,서울 강남구 ,강남구,111261,0.004,0.3,0.011,0.03,48,32
2016-07-04 02,서울 강남구 ,강남구,111261,0.004,0.3,0.012,0.024,45,30
2016-07-04 03,서울 강남구 ,강남구,111261,0.004,0.3,0.011,0.023,38,28
2016-07-04 04,서울 강남구 ,강남구,111261,0.004,0.3,0.014,0.016,38,25
2016-07-04 05,서울 강남구 ,강남구,111261,0.004,0.3,0.016,0.015,34,23
2016-07-04 06,서울 강남구 ,강남구,111261,0.004,0.3,0.011,0.021,35,22
2016-07-04 07,서울 강남구 ,강남구,111261,0.003,0.3,0.007,0.026,33,20
2016-07-04 08,서울 강남구 ,강남구,111261,0.004,0.3,0.009,0.026,25,21
2016-07-04 09,서울 강남구 ,강남구,111261,0.005,0.3,0.012,0.026,25,14
2016-07-04 10,서울 강남구 ,강남구,111261,0.003,0.3,0.011,0.027,28,16
2016-07-04 11,서울 강남구 ,강남구,111261,0.004,0.3,0.013,0.025,30,18
2016-07-04 12,서울 강남구 ,강남구,111261,0.004,0.3,0.014,0.028,27,16
2016-07-04 13,서울 강남구 ,강남구,111261,0.004,0.3,0.017,0.03,20,18
2016-07-04 14,서울 강남구 ,강남구,111261,0.004,0.3,0.015,0.032,9,2
