날짜,시도,측정소명,측정소코드,아황산가스,일산화탄소,오존,이산화질소,PM10,PM2.5
2016-04-01 01,서울 강남구 ,강남구,111261,0.008,0.8,0.008,0.08,58,24
2016-04-01 02,서울 강남구 ,강남구,111261,0.007,0.8,0.008,0.077,62,20
2016-04-01 03,서울 강남구 ,강남구,111261,0.006,0.7,0.009,0.071,67,25
2016-04-01 04,서울 강남구 ,강남구,111261,0.006,0.6,0.009,0.064,67,27
2016-04-01 05,서울 강남구 ,강남구,111261,0.006,0.6,0.008,0.064,60,27
2016-04-01 06,서울 강남구 ,강남구,111261,0.005,0.6,0.01,0.064,63,26
2016-04-01 07,서울 강남구 ,강남구,111261,0.006,0.7,0.01,0.067,72,30
2016-04-01 08,서울 강남구 ,강남구,111261,0.006,0.6,0.013,0.058,67,31
2016-04-01 09,서울 강남구 ,강남구,111261,0.006,0.7,0.015,0.062,71,33
2016-04-01 10,서울 강남구 ,강남구,111261,0.007,0.7,0.022,0.065,82,42
2016-04-01 11,서울 강남구 ,강남구,111261,0.007,0.5,0.035,0.056,66,26
2016-04-01 12,서울 강남구 ,강남구,111261,0.006,0.5,0.05,0.046,75,28
2016-04-01 13,서울 강남구 ,강남구,111261,0.008,0.4,0.061,0.036,81,24
2016-04-01 14,서울 강남구 ,강남구,111261,0.006,0.5,0.045,0.058,77,25
2016-04-01 15,서울 강남구 ,강남구,111261,0.009,0.6,0.053,0.077,99,40
2016-04-01 16,서울 강남구 ,강남구,111261,0.009,0.4,0.072,0.047,115,46
2016-04-01 17,서울 강남구 ,강남구,111261,0.009,0.5,0.064,0.052,78,21
2016-04-01 18,서울 강남구 ,강남구,111261,0.008,0.4,0.053,0.053,85,23
2016-04-01 19,서울 강남구 ,강남구,111261,0.009,0.5,0.047,0.056,71,20
2016-04-01 20,서울 강남구 ,강남구,111261,0.008,0.5,0.039,0.059,72,16
2016-04-01 21,서울 강남구 ,강남구,111261,0.008,0.5,0.037,0.059,69,31
2016-04-01 22,서울 강남구 ,강남구,111261,0.007,0.6,0.022,0.073,75,37
2016-04-01 23,서울 강남구 ,강남구,111261,0.008,0.6,0.014,0.082,80,30
2016-04-01 24,서울 강남구 ,강남구,111261,0.007,0.7,0.009,0.088,80,32
2016-04-02 01,서울 강남구 ,강남구,111261,0.009,0.7,0.009,0.088,78,31
2016-04-02 02,서울 강남구 ,강남구,111261,0.009,0.6,0.014,0.077,69,26
2016-04-02 03,서울 강남구 ,강남구,111261,0.008,0.6,0.013,0.077,63,26
2016-04-02 04,서울 강남구 ,강남구,111261,0.009,0.6,0.01,0.08,69,28
2016-04-02 05,서울 강남구 ,강남구,111261,0.01,0.7,0.011,0.078,71,34
2016-04-02 06,서울 강남구 ,강남구,111261,0.009,0.7,0.011,0.072,75,32
2016-04-02 07,서울 강남구 ,강남구,111261,0.007,0.7,0.011,0.068,76,31
2016-04-02 08,서울 강남구 ,강남구,111261,0.009,0.8,0.012,0.075,75,35
2016-04-02 09,서울 강남구 ,강남구,111261,0.01,0.8,0.015,0.08,85,41
2016-04-02 10,서울 강남구 ,강남구,111261,0.01,0.7,0.018,0.08,93,40
2016-04-02 11,서울 강남구 ,강남구,111261,0.01,0.6,0.03,0.068,98,33
2016-04-02 12,서울 강남구 ,강남구,111261,0.008,0.5,0.046,0.055,87,30
2016-04-02 13,서울 강남구 ,강남구,111261,0.008,0.5,0.07,0.033,82,32
2016-04-02 14,서울 강남구 ,강남구,111261,0.009,0.5,0.083,0.025,92,37
2016-04-02 15,서울 강남구 ,강남구,111261,0.008,0.4,0.088,0.022,65,29
2016-04-02 16,서울 강남구 ,강남구,111261,0.006,0.4,0.102,0.019,76,36
2016-04-02 17,서울 강남구 ,강남구,111261,0.009,0.4,0.09,0.027,82,36
